timestamp,value,room
1555492546,1,bedroom
1555492546,0,living room
1555492546,1,kitchen
1555492556,1,entrance
1555492556,0,bedroom
1555492556,1,living room
1555492566,1,kitchen
1555492566,0,entrance
1555492566,1,bedroom
1555492576,1,living room
1555492576,0,kitchen
1555492576,1,entrance
1555492586,1,bedroom
1555492586,0,living room
1555492586,1,kitchen
1555492596,1,entrance
1555492596,0,bedroom
1555492596,1,bedroom
1555492606,1,bedroom
1555492606,0,bedroom
1555492606,1,living room
1555492616,1,living room
1555492616,0,living room
1555492616,1,living room
1555492626,1,kitchen
1555492626,0,kitchen
1555492626,1,kitchen
1555492688,1,kitchen
1555492688,0,entrance
1555492688,1,entrance
1556130601,1,living room
1556130601,0,kitchen
1556130601,1,entrance
1556130612,1,living room
1556130612,0,kitchen
1556130612,1,entrance
1556130624,1,living room
1556130624,0,kitchen
1556130624,1,entrance
1556130635,1,living room
1556130635,0,kitchen
1556130635,1,entrance
1556130647,1,living room
1556130647,0,kitchen
1556130647,1,entrance
1556130659,1,living room
1556130659,0,kitchen
1556130659,1,entrance
1556130670,1,living room
1556130670,0,kitchen
1556130670,1,entrance
1556130682,1,living room
1556130682,0,kitchen
1556130682,1,entrance
1556130693,1,living room
1556130693,0,kitchen
1556130693,1,entrance
1556130705,1,living room
1556130705,0,kitchen
1556130705,1,entrance
1556130727,0,living room
1556130727,0,kitchen
1556130727,0,entrance
1556130730,1,living room
1556130730,0,kitchen
1556130730,1,entrance
1556130731,0,living room
1556130731,0,kitchen
1556130731,1,entrance
1556130732,0,living room
1556130732,0,kitchen
1556130732,1,entrance
1556130739,0,living room
1556130739,0,kitchen
1556130739,1,entrance
1556130747,0,living room
1556130747,1,kitchen
1556130747,1,entrance
1556130748,0,living room
1556130748,0,kitchen
1556130748,1,entrance
1556130974,0,living room
1556130974,0,kitchen
1556130974,0,entrance
1556130980,0,living room
1556130980,0,kitchen
1556130980,0,entrance
1556130987,1,living room
1556130987,0,kitchen
1556130987,0,entrance
1556130988,0,living room
1556130988,0,kitchen
1556130988,0,entrance
1556130989,0,living room
1556130989,1,kitchen
1556130989,0,entrance
1556130997,0,living room
1556130997,1,kitchen
1556130997,0,entrance
