timestamp,value,room
1555492546,32,living room
1555492556,62,living room
1555492566,64,study
1555492576,88,study
1555492586,54,study
1555492596,70,study
1555492606,42,living room
1555492616,2,living room
1555492626,17,living room
1555492688,40,study
1556130601,240,bedroom
1556130613,240,bedroom
1556130624,240,bedroom
1556130635,239,bedroom
1556130647,191,bedroom
1556130659,240,bedroom
1556130670,241,bedroom
1556130682,240,bedroom
1556130694,241,bedroom
1556130705,240,bedroom
1556130727,22,bedroom
1556130730,240,bedroom
1556130731,240,bedroom
1556130737,240,bedroom
1556130744,240,bedroom
1556130747,240,bedroom
1556130748,240,bedroom
1556130972,240,bedroom
1556130979,240,bedroom
1556130986,240,bedroom
1556130987,240,bedroom
1556130989,240,bedroom
1556130989,240,bedroom
1556130997,240,bedroom
