timestamp,value,room
1555492546,0,entrance
1555492556,0,entrance
1555492566,0,entrance
1555492576,0,entrance
1555492586,0,entrance
1555492596,1,entrance
1555492606,1,entrance
1555492616,0,entrance
1555492626,1,entrance
1555492688,1,entrance
1556130601,0,study
1556130613,0,study
1556130624,0,study
1556130635,0,study
1556130647,0,study
1556130659,0,study
1556130670,0,study
1556130682,0,study
1556130694,0,study
1556130705,0,study
1556130727,1,study
1556130730,0,study
1556130731,0,study
1556130737,0,study
1556130744,0,study
1556130747,0,study
1556130748,0,study
1556130972,0,study
1556130979,0,study
1556130986,0,study
1556130987,0,study
1556130989,0,study
1556130989,0,study
1556130997,0,study
