timestamp,value,room
1555492546,0,entrance
1555492546,0,bedroom
1555492556,0,bathroom
1555492556,0,kitchen
1555492566,0,study
1555492566,0,garage
1555492576,0,entrance
1555492576,0,bedroom
1555492586,0,bathroom
1555492586,0,kitchen
1555492596,0,study
1555492596,0,garage
1555492606,0,entrance
1555492606,0,bedroom
1555492616,0,bathroom
1555492616,0,kitchen
1555492626,0,study
1555492626,0,garage
1555492688,0,entrance
1555492688,0,bedroom
1556130601,0,entrance
1556130601,0,living room
1556130612,0,entrance
1556130612,0,living room
1556130624,0,entrance
1556130624,0,living room
1556130635,0,entrance
1556130635,0,living room
1556130647,0,entrance
1556130647,0,living room
1556130659,0,entrance
1556130659,0,living room
1556130670,0,entrance
1556130670,0,living room
1556130682,0,entrance
1556130682,0,living room
1556130693,0,entrance
1556130693,0,living room
1556130705,0,entrance
1556130705,0,living room
1556130727,0,entrance
1556130727,0,living room
1556130730,0,entrance
1556130730,0,living room
1556130731,0,entrance
1556130731,0,living room
1556130732,90,entrance
1556130737,0,living room
1556130739,0,entrance
1556130744,0,living room
1556130747,0,entrance
1556130747,0,living room
1556130748,0,entrance
1556130748,0,living room
1556130972,0,living room
1556130974,0,entrance
1556130979,0,living room
1556130980,90,entrance
1556130986,0,living room
1556130987,90,entrance
1556130987,0,living room
1556130988,90,entrance
1556130988,0,living room
1556130989,90,entrance
1556130989,0,living room
1556130997,90,entrance
1556130997,0,living room
1556551907,0,entrance
1556551907,0,living room
1556551923,0,entrance
1556551923,0,living room
1556551940,0,entrance
1556551940,0,living room
1556551956,0,entrance
1556551956,0,living room
1556551975,0,entrance
1556551975,0,living room
1556551997,0,entrance
1556551997,0,living room
1556552019,0,entrance
1556552019,0,living room
1556552040,0,entrance
1556552040,0,living room
1556552062,0,entrance
1556552062,0,living room
1556552079,0,entrance
1556552079,0,living room
1556552095,0,entrance
1556552095,0,living room
1556552119,0,entrance
1556552119,0,living room
1556552138,0,entrance
1556552138,0,living room
1556552155,0,entrance
1556552155,0,living room
1556552172,0,entrance
1556552172,0,living room
